Zip,Median,Mean,Pop,Wealth,Ratio
2056,111767,137649,10608,25881,0.23
2061,106730,144569,9785,37839,0.35
2062,72935,84347,28563,11411,0.16
2066,92394,116245,17349,23851,0.26
2067,117828,144691,17425,26862,0.23
2071,91781,107426,956,15644,0.17
2072,69340,81997,27342,12656,0.18
2081,92954,119375,18430,26421,0.28
2090,116083,154504,14150,38420,0.33
2093,94524,123596,10446,29072,0.31
2108,96033,149809,3324,53776,0.56
2109,92310,129015,3278,36704,0.40
2110,102972,135093,1606,32120,0.31
2111,31442,93529,4948,62086,1.97
2113,60386,84170,6453,23784,0.39
2114,69809,110095,11170,40286,0.58
2115,30282,54356,25637,24073,0.79
2116,80153,136491,19480,56337,0.70
2118,51368,82360,22527,30991,0.60
2119,36316,47419,23537,11102,0.31
2120,28794,41569,11553,12774,0.44
2121,28897,42271,24772,13374,0.46
2122,45859,59863,24385,14004,0.31
2124,43598,56611,51236,13013,0.30
2125,44266,57482,32937,13216,0.30
2126,51733,59320,27685,7586,0.15
2127,64285,80697,29457,16412,0.26
2128,42613,55095,38185,12481,0.29
2129,80223,108709,15195,28486,0.36
2130,69576,90455,34961,20879,0.30
2131,62945,73124,30491,10178,0.16
2132,76802,95567,25943,18765,0.24
2134,33863,47915,19641,14052,0.41
2135,52714,64682,41833,11967,0.23
2136,54410,67054,26418,12644,0.23
2138,68127,112348,34994,44220,0.65
2139,62821,83356,35273,20534,0.33
2140,65283,91656,17158,26373,0.40
2141,57909,79408,12010,21498,0.37
2142,61141,88669,1823,27527,0.45
2143,64966,79417,24864,14451,0.22
2144,68004,80579,24248,12575,0.18
2145,50718,63041,26833,12323,0.24
2148,55890,66741,56273,10850,0.19
2149,49696,62187,38109,12491,0.25
2150,40344,50098,34956,9754,0.24
2151,51723,60340,47323,8616,0.17
2152,68218,82769,18303,14550,0.21
2155,69803,82586,57291,12783,0.18
2163,23429,39215,929,15786,0.67
2169,56647,69210,52278,12562,0.22
2170,64309,77390,19203,13081,0.20
2171,66808,80719,16610,13911,0.21
2176,85681,95604,27173,9922,0.12
2180,78103,86637,22116,8533,0.11
2184,77129,95668,33731,18539,0.24
2186,98712,125636,26112,26923,0.27
2188,65251,80495,13828,15243,0.23
2189,62491,73956,14455,11465,0.18
2190,74205,89585,16780,15380,0.21
2191,68143,75926,8916,7783,0.11
2199,68080,149005,1004,80925,1.19
2203,106602,135049,1,28447,0.27
2210,61807,86291,413,24483,0.40
2215,30726,51218,21896,20491,0.67
2301,48470,58674,61459,10203,0.21
2302,62408,66149,32523,3740,0.06
2322,67313,77494,4483,10181,0.15
2324,80879,87642,22922,6763,0.08
2330,70048,77569,11169,7520,0.11
2332,116904,149633,14241,32729,0.28
2333,82133,89922,13012,7788,0.09
2339,104787,118371,13171,13583,0.13
2341,81912,90515,9550,8602,0.11
2343,62560,74251,10705,11691,0.19
2346,72466,80698,19926,8231,0.11
2347,94495,102487,9810,7992,0.08
2351,75850,83124,14614,7274,0.10
2356,99682,123583,12966,23901,0.24
2357,101136,146319,323,45183,0.45
2359,83622,95280,16907,11657,0.14
2360,74603,86753,51563,12150,0.16
2364,78923,100027,11805,21104,0.27
2366,89632,93117,126,3485,0.04
2367,87917,98668,2622,10751,0.12
2368,65118,74837,30999,9719,0.15
2370,62855,74684,17665,11828,0.19
2375,78410,93429,9034,15018,0.19
2379,73651,88014,6610,14362,0.19
2382,77027,83066,13867,6039,0.08
2420,139453,181881,14109,42427,0.30
2421,126827,167894,16360,41066,0.32
2445,105027,160933,21282,55905,0.53
2446,67338,105307,24351,37968,0.56
2451,78675,95995,17553,17319,0.22
2452,67088,84728,12642,17640,0.26
2453,59067,75080,29043,16012,0.27
2457,179792,273410,551,93618,0.52
2458,90740,123497,12603,32756,0.36
2459,128598,176962,18940,48364,0.38
2460,107495,140026,8772,32531,0.30
2461,110373,149143,6599,38769,0.35
2462,134119,208054,1679,73934,0.55
2464,81143,111517,2958,30373,0.37
2465,110531,158982,11789,48450,0.44
2466,115116,167280,7010,52163,0.45
2467,130044,220734,15408,90689,0.70
2468,166454,240445,5429,73990,0.44
2472,74968,89065,32913,14096,0.19
2474,82845,100434,25806,17588,0.21
2476,83975,104445,16533,20469,0.24
2478,95269,133543,24296,38274,0.40
2481,173681,243579,14503,69898,0.40
2482,123003,185218,11569,62214,0.51
2492,118211,168697,20064,50486,0.43
2493,147946,277514,11526,129568,0.88
2494,104492,139639,8885,35146,0.34
2532,60257,73420,11275,13162,0.22
2534,60788,74722,865,13934,0.23
2535,68906,98197,1182,29291,0.43
2536,61733,75012,19684,13278,0.22
2537,86643,98309,5732,11666,0.13
2538,54545,65412,3528,10867,0.20
2539,67625,93683,3771,26058,0.39
2540,58667,96888,8794,38220,0.65
2542,39803,51101,1588,11298,0.28
2543,82355,136359,845,54004,0.66
2553,70197,80940,249,10743,0.15
2554,61502,92073,6889,30570,0.50
2556,67750,87409,3352,19659,0.29
2557,59156,75430,3684,16274,0.28
2558,51662,60627,1779,8965,0.17
2559,62761,76026,3309,13264,0.21
2561,68597,79039,481,10442,0.15
2562,68960,79286,2881,10326,0.15
2563,84184,97817,10346,13632,0.16
2564,81944,158042,388,76098,0.93
2568,516,691,31,175,0.34
2571,55500,66214,10045,10713,0.19
2575,68906,98197,2438,29291,0.43
2576,62034,70428,3213,8393,0.14
2584,81944,158042,4,76098,0.93
2601,44219,55017,15104,10798,0.24
2630,71383,104286,1873,32903,0.46
2631,58280,76849,9796,18569,0.32
2632,67464,81140,11376,13675,0.20
2633,65871,102922,4282,37051,0.56
2635,75166,104492,3412,29326,0.39
2637,71516,104499,277,32983,0.46
2638,56770,75909,3700,19139,0.34
2639,47356,62216,3363,14860,0.31
2641,61013,80493,719,19480,0.32
2642,59536,74408,5431,14872,0.25
2643,62589,82230,45,19641,0.31
2644,82198,86837,3876,4639,0.06
2645,55137,75251,9578,20113,0.36
2646,52700,74549,1947,21849,0.41
2647,47353,56686,168,9333,0.20
2648,71212,91677,7610,20464,0.29
2649,62993,80307,12960,17314,0.27
2650,64477,105609,979,41132,0.64
2651,54464,69597,13,15133,0.28
2652,80425,82651,1288,2226,0.03
2653,57062,76182,6359,19119,0.34
2655,72786,103288,3956,30501,0.42
2657,44646,65485,3430,20839,0.47
2659,67569,99647,1102,32078,0.47
2660,52611,66274,6546,13662,0.26
2663,66109,85199,130,19090,0.29
2664,46673,59893,9702,13219,0.28
2666,80425,82651,790,2226,0.03
2667,66118,85193,2614,19075,0.29
2668,71947,99935,3274,27987,0.39
2669,67569,99647,259,32078,0.47
2670,36555,54887,1630,18332,0.50
2671,55677,85191,1061,29514,0.53
2672,51601,62500,249,10898,0.21
2673,46414,61552,8985,15138,0.33
2675,63557,80124,6712,16566,0.26
2702,91095,91631,3869,536,0.01
2703,67398,77813,41916,10414,0.15
2713,68906,98197,55,29291,0.43
2715,83613,90286,2591,6673,0.08
2717,75793,83033,4594,7240,0.10
2718,81142,82796,6406,1654,0.02
2719,53936,63866,16150,9930,0.18
2720,47794,57117,31309,9323,0.20
2721,32106,42516,26428,10410,0.32
2723,30338,38251,16231,7912,0.26
2724,30652,40877,17397,10224,0.33
2725,65712,67216,2663,1504,0.02
2726,68267,76224,15530,7956,0.12
2738,101006,125277,5118,24271,0.24
2739,74877,92712,6282,17835,0.24
2740,38238,47584,43249,9346,0.24
2743,70836,76925,10148,6088,0.09
2744,31128,48515,11667,17387,0.56
2745,51951,59328,23851,7376,0.14
2746,24099,35477,14861,11378,0.47
2747,72292,79915,19451,7623,0.11
2748,72885,89832,11531,16946,0.23
2760,79274,89441,25526,10167,0.13
2762,73645,82637,7678,8992,0.12
2763,76722,87166,1782,10444,0.14
2764,83621,90292,3623,6671,0.08
2766,77953,90784,17869,12830,0.16
2767,76338,88696,11839,12358,0.16
2769,90530,106149,10179,15619,0.17
2770,95022,97975,4397,2953,0.03
2771,73961,90916,13507,16954,0.23
2777,70245,82590,15945,12345,0.18
2779,81125,90841,5748,9716,0.12
2780,53796,62457,49469,8661,0.16
2790,68367,83137,14305,14770,0.22
2791,72105,100424,302,28319,0.39
2802,62982,77405,733,14423,0.23
2804,71104,79440,2574,8336,0.12
2806,105128,131774,16818,26645,0.25
2807,75417,99379,1009,23962,0.32
2808,73725,87590,2279,13865,0.19
2809,65256,80115,22438,14858,0.23
2812,72819,89720,1216,16901,0.23
2813,69956,87827,7847,17871,0.26
2814,79171,84321,7664,5150,0.07
2815,78476,93391,257,14915,0.19
2816,68135,75982,31625,7846,0.12
2817,81419,95881,5095,14462,0.18
2818,90430,117615,18176,27185,0.30
2822,98411,105363,5697,6952,0.07
